name	type	blazhko	period	log10(P_f/P_0)	metallicity	prior_mu	prior_mu_err	SF_ebv	SF_ebv_err	m_U_obs	m_U_obs_err	m_B_obs	m_B_obs_err	m_hipp_obs	m_hipp_obs_err	m_V_obs	m_V_obs_err	m_R_obs	m_R_obs_err	m_I_obs	m_I_obs_err	m_z_obs	m_z_obs_err	m_J_obs	m_J_obs_err	m_H_obs	m_H_obs_err	m_K_obs	m_K_obs_err	m_W1_obs	m_W1_obs_err	m_W2_obs	m_W2_obs_err	m_W3_obs	m_W3_obs_err	post_mu	post_mu_err	post_ebv	post_ebv_err	M_U_fit	M_U_fit_err	M_B_fit	M_B_fit_err	M_hipp_fit	M_hipp_fit_err	M_V_fit	M_V_fit_err	M_R_fit	M_R_fit_err	M_I_fit	M_I_fit_err	M_z_fit	M_z_fit_err	M_J_fit	M_J_fit_err	M_H_fit	M_H_fit_err	M_K_fit	M_K_fit_err	M_W1_fit	M_W1_fit_err	M_W2_fit	M_W2_fit_err	M_W3_fit	M_W3_fit_err
AACMi	RRab	False	0.4763	-0.0452	-0.15	10.4730	0.1384	0.0997	0.0029	---	---	---	---	11.6734	0.0059	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.2375	0.0057	10.2493	0.0053	10.2216	0.0539	10.5864	0.0135	0.1469	0.0157	---	---	---	---	0.5973	0.0517	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3746	0.0144	-0.3529	0.0143	-0.3681	0.0555
ABUMa	RRab	False	0.5996	0.0548	-0.49	10.0551	0.1326	0.0226	0.0012	11.6575	0.0026	11.3352	0.0017	11.0349	0.0038	10.8694	0.0016	10.5775	0.0018	10.3370	0.0075	10.7343	0.0066	10.0556	0.0065	9.7284	0.0059	9.7181	0.0072	9.5697	0.0047	9.5920	0.0043	9.5304	0.0259	10.1514	0.0146	0.0955	0.0088	1.0458	0.0433	0.7872	0.0377	0.5649	0.0314	0.4189	0.0297	0.1768	0.0258	0.0077	0.0220	0.4383	0.0197	-0.1827	0.0171	-0.4775	0.0160	-0.4672	0.0163	-0.5984	0.0153	-0.5697	0.0151	-0.6232	0.0297
AEBoo	RRc	False	0.3149	-0.0979	-1.39	9.9779	0.1252	0.0230	0.0012	---	---	---	---	10.7220	0.0034	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.7129	0.0042	9.7212	0.0041	9.6652	0.0235	9.9580	0.0167	0.0456	0.0157	---	---	---	---	0.6120	0.0522	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.2530	0.0170	-0.2418	0.0170	-0.2938	0.0288
AFVel	RRab	True	0.5274	-0.0009	-1.49	10.2164	0.1282	0.2783	0.0068	---	---	---	---	11.5419	0.0059	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.9828	0.0067	9.9809	0.0114	9.9081	0.0361	10.4202	0.0132	0.1656	0.0159	---	---	---	---	0.5697	0.0517	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4663	0.0145	-0.4570	0.0172	-0.5158	0.0385
AFVir	RRab	False	0.4837	-0.0385	-1.33	11.1113	0.1258	0.0208	0.0010	---	---	---	---	11.8920	0.0104	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.6980	0.0062	10.7121	0.0085	---	---	11.0736	0.0136	0.0682	0.0158	---	---	---	---	0.5908	0.0522	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3875	0.0146	-0.3688	0.0158	---	---
AMTuc	RRc	False	0.4058	0.0122	-1.49	11.0296	0.1250	0.0205	0.0005	---	---	---	---	11.7425	0.0047	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.5692	0.0041	10.5782	0.0040	---	---	11.0600	0.0123	0.0359	0.0148	---	---	---	---	0.5627	0.0488	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4970	0.0127	-0.4856	0.0127	---	---
AMVir	RRab	True	0.6151	0.0659	-1.37	10.7082	0.1254	0.0628	0.0015	---	---	---	---	11.6182	0.0053	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.0964	0.0046	10.0968	0.0048	---	---	10.6906	0.0151	0.1155	0.0158	---	---	---	---	0.5426	0.0531	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.6144	0.0157	-0.6063	0.0157	---	---
ANSer	RRab	False	0.5221	-0.0053	-0.07	9.9119	0.1392	0.0364	0.0006	---	---	---	---	11.0333	0.0066	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.7778	0.0046	9.7940	0.0047	9.8092	0.0394	10.2282	0.0124	0.0675	0.0157	---	---	---	---	0.5800	0.0516	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4622	0.0130	-0.4415	0.0130	-0.4205	0.0412
APSer	RRc	False	0.3408	-0.0636	-1.58	10.4358	0.1249	0.0362	0.0008	---	---	---	---	11.1798	0.0042	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.1622	0.0047	10.1704	0.0045	---	---	10.4858	0.0141	0.0297	0.0144	---	---	---	---	0.5949	0.0479	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3288	0.0147	-0.3186	0.0146	---	---
ARHer	RRab	True	0.4700	-0.0510	-1.30	10.5896	0.1267	0.0106	0.0004	11.6492	0.0208	11.4039	0.0369	11.3436	0.0176	11.1605	0.0120	11.0098	0.0058	---	---	---	---	10.5740	0.0043	10.4404	0.0043	10.4081	0.0049	---	---	10.2697	0.0038	---	---	10.6129	0.0141	0.0330	0.0079	0.8773	0.0442	0.6540	0.0503	0.6206	0.0333	0.4443	0.0295	0.3107	0.0242	---	---	---	---	-0.0689	0.0156	-0.1913	0.0149	-0.2165	0.0149	---	---	-0.3467	0.0145	---	---
ATAnd	RRab	False	0.6169	0.0671	-1.18	9.7576	0.1264	0.1037	0.0034	---	---	---	---	10.8035	0.0032	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.0272	0.0055	9.0215	0.0051	---	---	9.6101	0.0154	0.1956	0.0163	---	---	---	---	0.5413	0.0540	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.6171	0.0162	-0.6096	0.0161	---	---
ATVir	RRab	False	0.5258	-0.0023	-1.60	10.6467	0.1204	0.0270	0.0010	---	---	---	---	11.3858	0.0093	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.2172	0.0059	10.2036	0.0049	10.2392	0.0608	10.6641	0.0128	0.0473	0.0159	---	---	---	---	0.5641	0.0523	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4551	0.0138	-0.4656	0.0134	-0.4259	0.0622
AUVir	RRc	False	0.3432	-0.0605	-1.50	10.9470	0.1251	0.0251	0.0004	---	---	---	---	11.6728	0.0063	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.7590	0.0044	10.7727	0.0052	---	---	11.0940	0.0138	0.0100	0.0085	---	---	---	---	0.5454	0.0311	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.3368	0.0145	-0.3224	0.0147	---	---
AVPeg	RRab	False	0.3904	-0.1316	-0.08	9.4122	0.1390	0.0615	0.0007	11.2715	0.0212	10.7393	0.0085	10.5961	0.0058	10.3325	0.0136	10.1416	0.0143	---	---	---	---	9.7057	0.0089	---	---	9.5753	0.0118	9.3025	0.0046	9.3259	0.0045	9.2549	0.0203	9.4673	0.0199	0.1305	0.0103	1.1753	0.0565	0.7302	0.0469	0.6936	0.0392	0.4566	0.0394	0.3337	0.0356	---	---	---	---	0.1197	0.0234	---	---	0.0617	0.0233	-0.1876	0.0204	-0.1554	0.0204	-0.2155	0.0285
AVVir	RRab	False	0.6569	0.0944	-1.25	11.0864	0.1259	0.0273	0.0007	12.5931	0.0445	12.1289	0.0049	11.9070	0.0075	11.7724	0.0062	11.4829	0.0037	---	---	---	---	10.8540	0.0046	10.6143	0.0059	10.5599	0.0069	10.5080	0.0044	10.5097	0.0046	---	---	11.1728	0.0174	0.0562	0.0097	1.1495	0.0658	0.7228	0.0428	0.5468	0.0362	0.4236	0.0343	0.1634	0.0298	---	---	---	---	-0.3699	0.0194	-0.5906	0.0188	-0.6328	0.0188	-0.6746	0.0179	-0.6692	0.0180	---	---
AXLeo	RRab	False	0.7268	0.1384	-1.72	11.6287	0.1253	0.0314	0.0007	12.6331	0.0426	12.5612	0.0067	12.3547	0.0086	12.1832	0.0047	11.9429	0.0035	11.7078	0.0046	12.0931	0.0063	---	---	11.0378	0.0099	10.9501	0.0117	10.8789	0.0057	10.8946	0.0079	---	---	11.6483	0.0220	0.0513	0.0112	0.7378	0.0712	0.7001	0.0508	0.5355	0.0432	0.3744	0.0406	0.1608	0.0358	-0.0359	0.0298	0.3672	0.0277	---	---	-0.6398	0.0247	-0.7164	0.0251	-0.7784	0.0227	-0.7592	0.0234	---	---
BBEri	RRab	False	0.5699	0.0327	-1.32	10.7566	0.1256	0.0427	0.0015	---	---	---	---	11.6116	0.0058	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.1940	0.0037	10.2047	0.0034	10.1395	0.0344	10.7216	0.0131	0.0970	0.0144	---	---	---	---	0.5664	0.0477	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5445	0.0134	-0.5274	0.0133	-0.5844	0.0367
BCDra	RRab	False	0.7196	0.1340	-2.00	10.9380	0.1263	0.0584	0.0030	---	---	---	---	11.6880	0.0049	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.0772	0.0028	10.0882	0.0026	10.0102	0.0313	10.8278	0.0213	0.1024	0.0173	---	---	---	---	0.5188	0.0598	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.7685	0.0214	-0.7506	0.0214	-0.8199	0.0378
BHPeg	RRab	True	0.6410	0.0838	-1.22	9.5845	0.1258	0.0714	0.0008	---	---	---	---	10.5529	0.0029	---	---	---	---	---	---	---	---	---	---	---	---	---	---	8.9745	0.0053	8.9943	0.0049	8.9051	0.0183	9.6155	0.0169	0.1189	0.0165	---	---	---	---	0.5411	0.0557	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.6617	0.0176	-0.6339	0.0174	-0.7131	0.0248
